counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,532.3938,532.5919,532.592,533.0916,,,,,,,,,,,,,,0.7558,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,96,0,533.0922,533.8588,z,1,0.7558,,[],[],[],[],[],[],[],533.8588,535.8588,535.8588,535.859,[],[],[],[],[],[],[],,535.859,535.8591,-0.103693954,0.111807914,0,0,0,,0,95,95,77,1,2,TL,sloten,print,sloten_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,535.8605,536.0575,536.0575,536.5585,,,,,,,,,,,,,,2.3879,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,97,0,536.559,538.9588,m,1,2.3879,,[],[],[],[],[],[],[],538.9588,540.9585,540.9586,540.9588,[],[],[],[],[],[],[],,540.9588,540.9589,-0.103693954,0.111807914,0,0,0,,0,96,96,134,1,2,word,QUALIFY,cursive,qualify_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,540.9597,541.1575,541.1575,541.6589,,,,,,,,,,,,,,0.6147,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,98,0,541.6595,542.2751,z,1,0.6147,,[],[],[],[],[],[],[],542.2752,544.2752,544.2753,544.2754,[],[],[],[],[],[],[],,544.2755,544.2756,-0.103693954,0.111807914,0,0,0,,0,97,97,4,1,2,RL,cenesony,print,cenesony_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,544.2767,544.4753,544.4753,544.9746,,,,,,,,,,,,,,1.0265,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,99,0,544.975,546.0084,z,1,1.0265,,[],[],[],[],[],[],[],546.0084,548.0085,548.0086,548.0089,[],[],[],[],[],[],[],,548.0089,548.009,-0.103693954,0.111807914,0,0,0,,0,98,98,30,1,2,RL,selamor,print,selamor_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,548.0104,548.2077,548.2078,548.7087,,,,,,,,,,,,,,1.0173,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,100,0,548.7094,549.7419,z,1,1.0173,,[],[],[],[],[],[],[],549.742,551.7421,551.7421,551.7423,[],[],[],[],[],[],[],,551.7424,551.7425,-0.103693954,0.111807914,0,0,0,,0,99,99,20,1,2,RL,onegator,cursive,onegator_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,551.744,551.9408,551.9409,552.442,,,,,,,,,,,,,,1.5546,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,101,0,552.4427,554.0086,z,0,1.5546,,[],[],[],[],[],[],[],554.0086,556.0085,556.0085,556.0087,[],[],[],[],[],[],[],,556.0088,556.009,-0.103693954,0.111807914,0,0,0,,0,100,100,123,1,2,word,MODERATE,cursive,moderate_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,556.0104,556.2087,556.2087,556.7088,,,,,,,,,,,,,,0.6353,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,102,0,556.7094,557.3585,m,1,0.6353,,[],[],[],[],[],[],[],557.3587,559.3586,559.3587,559.359,[],[],[],[],[],[],[],,559.359,559.3592,-0.103693954,0.111807914,0,0,0,,0,101,101,93,1,2,word,CEREMONY,print,ceremony_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,559.3604,559.5585,559.5586,560.0582,,,,,,,,,,,,,,1.8409,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,103,0,560.0585,561.9085,z,1,1.8409,,[],[],[],[],[],[],[],561.9085,563.9086,563.9087,563.9088,[],[],[],[],[],[],[],,563.9089,563.909,-0.103693954,0.111807914,0,0,0,,0,102,102,14,1,2,RL,insibate,cursive,insibate_c.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,563.9104,564.1085,564.1085,564.6087,,,,,,,,,,,,,,0.6021,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,104,0,564.6094,565.2252,m,1,0.6021,,[],[],[],[],[],[],[],565.2253,567.2253,567.2254,567.2256,[],[],[],[],[],[],[],,567.2256,567.2259,-0.103693954,0.111807914,0,0,0,,0,103,103,149,1,2,word,SENATOR,print,senator_p.png,,,,,,
,,,,32007,001,2025-11-16_17h08.27.345,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,567.2273,567.4244,567.4245,567.9243,,,,,,,,,,,,,,0.9164,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,105,0,567.9247,568.8421,m,1,0.9164,,[],[],[],[],[],[],[],568.8422,570.8419,570.8419,570.8421,[],[],[],[],[],[],[],,570.8422,570.8423,-0.103693954,0.111807914,0,0,0,,0,104,104,82,1,2,word,AMATEUR,cursive,amateur_c.png,,,,,,
